23-Jan-24,ENIN 207,Forum 1 Post 1,2,Week 3
25-Jan-24,CMPE 223,Assignment 1,10,Week 3
25-Jan-24,ENIN 207,Forum 1 Post 2,2,Week 3
26-Jan-24,ELEC 373,Quiz 1,10,Week 3
31-Jan-24,ELEC 374,Quiz 1,5,Week 4
31-Jan-24,ELEC 390,PM Braitenberg,3,Week 4
05-Feb-24,ENIN 207,Forum 1 Group Post,2,Week 5
08-Feb-24,CMPE 223,Assignment 2,15,Week 5
09-Feb-24,ELEC 373,Quiz 2,10,Week 5
14-Feb-24,ENIN 207,Case Analysis 1,22,Week 6
18-Feb-24,ELEC 373,Assignment 1,5,Week 6
25-Feb-24,ENIN 207,Forum 2 Post 1,2,Week 7
26-Feb-24,ELEC 390,Braitenberg,29,Week 7
27-Feb-24,ENIN 207,Forum 2 Post 2,2,Week 7
28-Feb-24,ELEC 374,Quiz 2,5,Week 7
28-Feb-24,ELEC 390,PM Object Detection,3,Week 7
29-Feb-24,CMPE 223,Midterm,25,Week 7
01-Mar-24,ELEC 373,Quiz 3,10,Week 7
07-Mar-24,CMPE 223,Assignment 3,10,Week 8
07-Mar-24,ENIN 207,Forum 2 Group Post,2,Week 8
13-Mar-24,ELEC 390,PM Lane Following,3,Week 9
15-Mar-24,ELEC 373,Quiz 4,10,Week 9
15-Mar-24,ELEC 374,Machine Problem 1,5,Week 9
15-Mar-24,ELEC 390,Object Detection,29,Week 9
15-Mar-24,ENIN 207,Case Analysis 2,25,Week 9
19-Mar-24,ELEC 374,Quiz 3,5,Week 10
19-Mar-24,ENIN 207,Forum 3 Post 1,2,Week 10
21-Mar-24,CMPE 223,Assignment 4,15,Week 10
21-Mar-24,ENIN 207,Forum 3 Post 2,2,Week 10
24-Mar-24,ELEC 373,Assignment 2,5,Week 10
29-Mar-24,ELEC 373,Quiz 5,10,Week 11
29-Mar-24,ELEC 374,Machine Problem 2,5,Week 11
29-Mar-24,ENIN 207,Forum 3 Group Post,2,Week 11
03-Apr-24,ELEC 374,Quiz 4,5,Week 12
05-Apr-24,ELEC 390,Lane Following,29,Week 12
07-Apr-24,ENIN 207,Final Project,35,Week 12
,,,,
